["port 1",""]
["port 2",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(1000, 3)
187370286250000 0.300000 0.000000
187382009348683 0.309433 0.000000
187393733914403 0.318856 0.000000
187405459947437 0.328261 0.000000
187417187448060 0.337637 0.000000
187428916416546 0.346977 0.000000
187440646853173 0.356270 0.000000
187452378758214 0.365507 0.000000
187464112131947 0.374680 0.000000
187475846974647 0.383779 0.000000
187487583286590 0.392795 0.000000
187499321068052 0.401719 0.000000
187511060319308 0.410543 0.000000
187522801040636 0.419257 0.000000
187534543232310 0.427853 0.000000
187546286894608 0.436323 0.000000
187558032027805 0.444658 0.000000
187569778632178 0.452850 0.000000
187581526708004 0.460891 0.000000
187593276255559 0.468773 0.000000
187605027275119 0.476488 0.000000
187616779766961 0.484029 0.000000
187628533731361 0.491387 0.000000
187640289168598 0.498556 0.000000
187652046078947 0.505529 0.000000
187663804462685 0.512299 0.000000
187675564320090 0.518858 0.000000
187687325651438 0.525202 0.000000
187699088457006 0.531322 0.000000
187710852737073 0.537214 0.000000
187722618491914 0.542871 0.000000
187734385721807 0.548288 0.000000
187746154427031 0.553460 0.000000
187757924607861 0.558381 0.000000
187769696264576 0.563046 0.000000
187781469397454 0.567452 0.000000
187793244006772 0.571593 0.000000
187805020092807 0.575465 0.000000
187816797655838 0.579065 0.000000
187828576696143 0.582389 0.000000
187840357213999 0.585433 0.000000
187852139209684 0.588196 0.000000
187863922683477 0.590673 0.000000
187875707635656 0.592863 0.000000
187887494066499 0.594764 0.000000
187899281976284 0.596373 0.000000
187911071365290 0.597688 0.000000
187922862233795 0.598710 0.000000
187934654582078 0.599436 0.000000
187946448410417 0.599866 0.000000
187958243719091 0.600000 0.000000
187970040508378 0.599836 0.000000
187981838778558 0.599377 0.000000
187993638529910 0.598621 0.000000
188005439762711 0.597570 0.000000
188017242477242 0.596225 0.000000
188029046673782 0.594587 0.000000
188040852352608 0.592657 0.000000
188052659514002 0.590438 0.000000
188064468158241 0.587932 0.000000
188076278285606 0.585142 0.000000
188088089896376 0.582069 0.000000
188099902990830 0.578717 0.000000
188111717569248 0.575090 0.000000
188123533631909 0.571190 0.000000
188135351179094 0.567023 0.000000
188147170211081 0.562591 0.000000
188158990728152 0.557900 0.000000
188170812730585 0.552954 0.000000
188182636218661 0.547758 0.000000
188194461192660 0.542316 0.000000
188206287652862 0.536635 0.000000
188218115599547 0.530720 0.000000
188229945032996 0.524577 0.000000
188241775953488 0.518212 0.000000
188253608361304 0.511631 0.000000
188265442256726 0.504841 0.000000
188277277640032 0.497848 0.000000
188289114511505 0.490660 0.000000
188300952871424 0.483283 0.000000
188312792720070 0.475724 0.000000
188324634057724 0.467992 0.000000
188336476884668 0.460094 0.000000
188348321201182 0.452038 0.000000
188360167007547 0.443831 0.000000
188372014304044 0.435482 0.000000
188383863090954 0.426999 0.000000
188395713368560 0.418391 0.000000
188407565137141 0.409665 0.000000
188419418396980 0.400831 0.000000
188431273148357 0.391897 0.000000
188443129391556 0.382873 0.000000
188454987126856 0.373766 0.000000
188466846354540 0.364586 0.000000
188478707074889 0.355343 0.000000
188490569288186 0.346045 0.000000
188502432994713 0.336701 0.000000
188514298194750 0.327321 0.000000
188526164888581 0.317914 0.000000
188538033076487 0.308490 0.000000
188549902758750 0.299057 0.000000
188561773935654 0.289624 0.000000
188573646607480 0.280203 0.000000
188585520774510 0.270800 0.000000
188597396437027 0.261427 0.000000
188609273595314 0.252092 0.000000
188621152249653 0.242804 0.000000
188633032400327 0.233572 0.000000
188644914047619 0.224407 0.000000
188656797191811 0.215316 0.000000
188668681833186 0.206308 0.000000
188680567972028 0.197394 0.000000
188692455608618 0.188581 0.000000
188704344743242 0.179878 0.000000
188716235376181 0.171294 0.000000
188728127507719 0.162837 0.000000
188740021138139 0.154516 0.000000
188751916267725 0.146339 0.000000
188763812896760 0.138313 0.000000
188775711025527 0.130448 0.000000
188787610654311 0.122750 0.000000
188799511783395 0.115227 0.000000
188811414413062 0.107887 0.000000
188823318543597 0.100737 0.000000
188835224175283 0.093785 0.000000
188847131308405 0.087036 0.000000
188859039943246 0.080497 0.000000
188870950080090 0.074176 0.000000
188882861719223 0.068078 0.000000
188894774860927 0.062210 0.000000
188906689505487 0.056576 0.000000
188918605653188 0.051183 0.000000
188930523304314 0.046037 0.000000
188942442459150 0.041141 0.000000
188954363117981 0.036501 0.000000
188966285281090 0.032122 0.000000
188978208948763 0.028008 0.000000
188990134121284 0.024163 0.000000
189002060798939 0.020590 0.000000
189013988982013 0.017294 0.000000
189025918670790 0.014278 0.000000
189037849865555 0.011544 0.000000
189049782566595 0.009095 0.000000
189061716774193 0.006934 0.000000
189073652488636 0.005062 0.000000
189085589710208 0.003483 0.000000
189097528439196 0.002196 0.000000
189109468675885 0.001204 0.000000
189121410420560 0.000508 0.000000
189133353673508 0.000107 0.000000
189145298435013 0.000003 0.000000
189157244705362 0.000196 0.000000
189169192484840 0.000685 0.000000
189181141773735 0.001471 0.000000
189193092572331 0.002551 0.000000
189205044880914 0.003926 0.000000
189216998699772 0.005593 0.000000
189228954029190 0.007552 0.000000
189240910869455 0.009799 0.000000
189252869220853 0.012334 0.000000
189264829083670 0.015153 0.000000
189276790458193 0.018254 0.000000
189288753344709 0.021633 0.000000
189300717743505 0.025288 0.000000
189312683654867 0.029214 0.000000
189324651079082 0.033408 0.000000
189336620016436 0.037866 0.000000
189348590467218 0.042583 0.000000
189360562431714 0.047554 0.000000
189372535910211 0.052776 0.000000
189384510902997 0.058241 0.000000
189396487410358 0.063946 0.000000
189408465432582 0.069884 0.000000
189420444969957 0.076049 0.000000
189432426022770 0.082436 0.000000
189444408591308 0.089039 0.000000
189456392675860 0.095849 0.000000
189468378276712 0.102862 0.000000
189480365394154 0.110070 0.000000
189492354028472 0.117465 0.000000
189504344179954 0.125041 0.000000
189516335848889 0.132790 0.000000
189528329035565 0.140704 0.000000
189540323740269 0.148776 0.000000
189552319963291 0.156997 0.000000
189564317704918 0.165360 0.000000
189576316965438 0.173856 0.000000
189588317745141 0.182477 0.000000
189600320044315 0.191214 0.000000
189612323863247 0.200058 0.000000
189624329202228 0.209001 0.000000
189636336061546 0.218035 0.000000
189648344441489 0.227149 0.000000
189660354342346 0.236335 0.000000
189672365764407 0.245584 0.000000
189684378707961 0.254888 0.000000
189696393173296 0.264235 0.000000
189708409160701 0.273618 0.000000
189720426670467 0.283027 0.000000
189732445702882 0.292453 0.000000
189744466258236 0.301887 0.000000
189756488336818 0.311318 0.000000
189768511938917 0.320739 0.000000
189780537064824 0.330139 0.000000
189792563714828 0.339509 0.000000
189804591889219 0.348840 0.000000
189816621588287 0.358122 0.000000
189828652812321 0.367347 0.000000
189840685561612 0.376506 0.000000
189852719836450 0.385589 0.000000
189864755637124 0.394587 0.000000
189876792963925 0.403492 0.000000
189888831817144 0.412294 0.000000
189900872197070 0.420986 0.000000
189912914103994 0.429558 0.000000
189924957538207 0.438001 0.000000
189937002500000 0.446308 0.000000
189949048989661 0.454471 0.000000
189961097007484 0.462481 0.000000
189973146553758 0.470330 0.000000
189985197628774 0.478010 0.000000
189997250232823 0.485515 0.000000
190009304366197 0.492836 0.000000
190021360029185 0.499967 0.000000
190033417222081 0.506900 0.000000
190045475945174 0.513628 0.000000
190057536198756 0.520145 0.000000
190069597983118 0.526444 0.000000
190081661298552 0.532519 0.000000
190093726145350 0.538364 0.000000
190105792523803 0.543974 0.000000
190117860434203 0.549343 0.000000
190129929876841 0.554464 0.000000
190142000852009 0.559335 0.000000
190154073360000 0.563948 0.000000
190166147401104 0.568301 0.000000
190178222975615 0.572389 0.000000
190190300083825 0.576207 0.000000
190202378726025 0.579752 0.000000
190214458902508 0.583020 0.000000
190226540613567 0.586009 0.000000
190238623859493 0.588714 0.000000
190250708640579 0.591134 0.000000
190262794957118 0.593267 0.000000
190274882809402 0.595109 0.000000
190286972197725 0.596659 0.000000
190299063122378 0.597916 0.000000
190311155583656 0.598879 0.000000
190323249581850 0.599546 0.000000
190335345117254 0.599917 0.000000
190347442190161 0.599991 0.000000
190359540800864 0.599768 0.000000
190371640949656 0.599249 0.000000
190383742636831 0.598435 0.000000
190395845862682 0.597325 0.000000
190407950627503 0.595921 0.000000
190420056931587 0.594224 0.000000
190432164775227 0.592237 0.000000
190444274158718 0.589960 0.000000
190456385082352 0.587397 0.000000
190468497546425 0.584549 0.000000
190480611551230 0.581421 0.000000
190492727097061 0.578014 0.000000
190504844184212 0.574332 0.000000
190516962812977 0.570378 0.000000
190529082983650 0.566158 0.000000
190541204696526 0.561674 0.000000
190553327951899 0.556931 0.000000
190565452750063 0.551935 0.000000
190577579091314 0.546689 0.000000
190589706975945 0.541199 0.000000
190601836404251 0.535471 0.000000
190613967376527 0.529510 0.000000
190626099893068 0.523322 0.000000
190638233954169 0.516913 0.000000
190650369560124 0.510290 0.000000
190662506711229 0.503458 0.000000
190674645407780 0.496426 0.000000
190686785650070 0.489199 0.000000
190698927438395 0.481785 0.000000
190711070773051 0.474192 0.000000
190723215654333 0.466426 0.000000
190735362082537 0.458495 0.000000
